Date,Open,High,Low,Close ,Adj Close ,Volume
17-Mar-25,"5,635.60","5,703.52","5,631.12","5,675.12","5,675.12","2,983,957,000"
1-Mar-25,"5,968.33","5,986.09","5,504.65","5,675.12","5,675.12","60,672,520,000"
1-Feb-25,"5,969.65","6,147.43","5,837.66","5,954.50","5,954.50","92,317,000,000"
1-Jan-25,"5,903.26","6,128.18","5,773.31","6,040.53","6,040.53","88,639,380,000"
1-Dec-24,"6,040.11","6,099.97","5,832.30","5,881.63","5,881.63","86,064,900,000"
1-Nov-24,"5,723.22","6,044.17","5,696.51","6,032.38","6,032.38","84,101,980,000"
1-Oct-24,"5,757.73","5,878.46","5,674.00","5,705.45","5,705.45","82,412,430,000"
1-Sep-24,"5,623.89","5,767.37","5,402.62","5,762.48","5,762.48","79,564,830,000"
1-Aug-24,"5,537.84","5,651.62","5,119.26","5,648.40","5,648.40","81,097,300,000"
1-Jul-24,"5,471.08","5,669.67","5,390.95","5,522.30","5,522.30","80,160,390,000"
1-Jun-24,"5,297.15","5,523.64","5,234.32","5,460.48","5,460.48","76,025,620,000"
1-May-24,"5,029.03","5,341.88","5,011.05","5,277.51","5,277.51","86,849,720,000"
1-Apr-24,"5,257.97","5,263.95","4,953.56","5,035.69","5,035.69","81,747,170,000"
